16.08.2023                   Salida dinámica de lista                          1
--------------------------------------------------------------------------------
--------------------------------------------------------------------
|F. Entrega|Pedido.       |En lis.esp|Estatus pedido               |
|17.08.2023|8014652205    |          |Por confirmar - Cabecera     |
|17.08.2023|8014661607-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014658823-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014666319-S  |          |Bloqueada - Cabecera         |
|17.08.2023|8014609906    |          |Confirmada - Cabecera        |
|17.08.2023|8014650730    |          |Confirmada - Cabecera        |
|17.08.2023|8014646993    |          |Confirmada - Cabecera        |
|17.08.2023|8014622057    |          |Confirmada - Cabecera        |
|17.08.2023|8014670230-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014668535-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014650316-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014657473    |          |Confirmada - Cabecera        |
|17.08.2023|8014641168-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014669479    |X         |Confirmada - Cabecera        |
|17.08.2023|8014645482    |X         |Confirmada - Cabecera        |
|17.08.2023|8014669776-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014656945-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014665162    |X         |Confirmada - Cabecera        |
|17.08.2023|8014661871-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014641396-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014653465-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014654985    |          |Confirmada - Cabecera        |
|17.08.2023|8014660263    |          |Por confirmar - Cabecera     |
|17.08.2023|8014646345    |          |Confirmada - Cabecera        |
|17.08.2023|8014669966-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014629073    |          |Confirmada - Cabecera        |
|17.08.2023|8014657424    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665296    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665289    |          |Por confirmar - Cabecera     |
|17.08.2023|8014651947-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014669880    |X         |Confirmada - Cabecera        |
|17.08.2023|8014651112    |          |Confirmada - Cabecera        |
|17.08.2023|8014655231    |          |Confirmada - Cabecera        |
|17.08.2023|8014662520-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014659920-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014646291    |          |Confirmada - Cabecera        |
|17.08.2023|8014646353-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014644316    |          |Confirmada - Cabecera        |
|17.08.2023|8014652848    |          |Confirmada - Cabecera        |
|17.08.2023|8014571427-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014665998-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014660068    |X         |Confirmada - Cabecera        |
|17.08.2023|8014666026-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014652792    |          |Confirmada - Cabecera        |
|17.08.2023|8014668290    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014631875    |X         |Bloqueada - Cabecera         |
|17.08.2023|8014657829    |          |Por confirmar - Cabecera     |
|17.08.2023|8014669715    |          |Confirmada - Cabecera        |
|17.08.2023|8014669892-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014645356    |X         |Confirmada - Cabecera        |
|17.08.2023|8014662053    |          |Confirmada - Cabecera        |
|17.08.2023|8014653758    |          |Confirmada - Cabecera        |
|17.08.2023|8014640471    |          |Confirmada - Cabecera        |
|17.08.2023|8014661581    |X         |Confirmada - Cabecera        |
|17.08.2023|8014664462    |X         |Confirmada - Cabecera        |
|17.08.2023|8014652357-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014653597-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014635439    |          |Confirmada - Cabecera        |
|17.08.2023|8014659281-P-S|          |Por confirmar - Cabecera     |
|17.08.2023|8014654462    |          |Por confirmar - Cabecera     |
|17.08.2023|8014644627-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014642992    |          |Confirmada - Cabecera        |
|17.08.2023|8014641608-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014660568    |          |Por confirmar - Cabecera     |
|17.08.2023|8014669952-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014649989    |          |Cancelada - Cabecera         |
|17.08.2023|8014657729    |          |Confirmada - Cabecera        |
|17.08.2023|8014655014    |          |Confirmada - Cabecera        |
|17.08.2023|8014669899    |          |Confirmada - Cabecera        |
|17.08.2023|8014670391-S  |X         |Por confirmar - Cabecera     |
|17.08.2023|8014641447    |          |Confirmada - Cabecera        |
|17.08.2023|8014662477    |X         |Confirmada - Cabecera        |
|17.08.2023|8014660327-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014658745-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014658803-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014653314-P-S|X         |Por confirmar - Cabecera     |
|17.08.2023|8014660008    |          |Confirmada - Cabecera        |
|17.08.2023|8014653382    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014657325    |          |Por confirmar - Cabecera     |
|17.08.2023|8014622131    |          |Confirmada - Cabecera        |
|17.08.2023|8014666171    |X         |Confirmada - Cabecera        |
|17.08.2023|8014653596-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014645906    |          |Confirmada - Cabecera        |
|17.08.2023|8014663066    |X         |Confirmada - Cabecera        |
|17.08.2023|8014645988    |          |Confirmada - Cabecera        |
|17.08.2023|8014651243    |X         |Confirmada - Cabecera        |
|17.08.2023|8014658029    |X         |Confirmada - Cabecera        |
|17.08.2023|8014668275-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014658221    |          |Por confirmar - Cabecera     |
|17.08.2023|8014629076    |          |Confirmada - Cabecera        |
|17.08.2023|8014654430    |          |Confirmada - Cabecera        |
|17.08.2023|8014660234    |          |Por confirmar - Cabecera     |
|17.08.2023|8014657418    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665890-P  |X         |Cancelada - Cabecera         |
|17.08.2023|8014667594    |          |Confirmada - Cabecera        |
|17.08.2023|8014665298    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665340    |          |Por confirmar - Cabecera     |
|17.08.2023|8014646573    |          |Confirmada - Cabecera        |
|17.08.2023|8014651364    |          |Confirmada - Cabecera        |
|17.08.2023|8014610033-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014610016    |          |Confirmada - Cabecera        |
|17.08.2023|8014659069    |X         |Confirmada - Cabecera        |
|17.08.2023|8014598098-P-S|          |Cancelada - Cabecera         |
|17.08.2023|8014644273    |          |Confirmada - Cabecera        |
|17.08.2023|8014650669-P-S|X         |Bloqueada - Cabecera         |
|17.08.2023|8014574767-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014558381-P-S|X         |Cancelada - Cabecera         |
|17.08.2023|8014662008    |          |Confirmada - Cabecera        |
|17.08.2023|8014665997    |X         |Confirmada - Cabecera        |
|17.08.2023|8014653978    |          |Por confirmar - Cabecera     |
|17.08.2023|8014638145    |          |Confirmada - Cabecera        |
|17.08.2023|8014650814-P-S|X         |Confirmada - Cabecera        |
|17.08.2023|8014644759-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014635023    |          |Por confirmar - Cabecera     |
|17.08.2023|8014640020    |          |Confirmada - Cabecera        |
|17.08.2023|8014640021    |          |Cancelada - Cabecera         |
|17.08.2023|8014581027-S  |          |Cancelada - Cabecera         |
|17.08.2023|8014650172-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014652209    |          |Por confirmar - Cabecera     |
|17.08.2023|8014609943    |          |Confirmada - Cabecera        |
|17.08.2023|8014657646-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014622959    |          |Confirmada - Cabecera        |
|17.08.2023|8014653815    |          |Confirmada - Cabecera        |
|17.08.2023|8014665904    |X         |Por confirmar - Cabecera     |
|17.08.2023|8014666014-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014648145-S  |X         |Cancelada - Cabecera         |
|17.08.2023|8014622137    |          |Confirmada - Cabecera        |
|17.08.2023|8014668536-S  |X         |Confirmada - Cabecera        |
|17.08.2023|8014645485    |X         |Confirmada - Cabecera        |
|17.08.2023|8014654163    |          |Confirmada - Cabecera        |
|17.08.2023|8014660212    |          |Por confirmar - Cabecera     |
|17.08.2023|8014643501-S  |          |Por confirmar - Cabecera     |
|17.08.2023|8014642998    |          |Confirmada - Cabecera        |
|17.08.2023|8014668612    |          |Confirmada - Cabecera        |
|17.08.2023|8014657425    |          |Por confirmar - Cabecera     |
|17.08.2023|8014654521    |          |Confirmada - Cabecera        |
|17.08.2023|8014665299    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665341    |          |Por confirmar - Cabecera     |
|17.08.2023|8014655128    |          |Confirmada - Cabecera        |
|17.08.2023|8014660558    |          |Confirmada - Cabecera        |
|17.08.2023|8014657326    |          |Por confirmar - Cabecera     |
|17.08.2023|8014622201    |          |Confirmada - Cabecera        |
|17.08.2023|8014665167    |          |Confirmada - Cabecera        |
|17.08.2023|8014653985    |          |Por confirmar - Cabecera     |
|17.08.2023|8014660574    |          |Por confirmar - Cabecera     |
|17.08.2023|8014668003    |          |Confirmada - Cabecera        |
|17.08.2023|8014635516    |          |Confirmada - Cabecera        |
|17.08.2023|8014662513-S  |          |Confirmada - Cabecera        |
|17.08.2023|8014587139    |          |Cancelada - Cabecera         |
|17.08.2023|8014652199    |          |Por confirmar - Cabecera     |
|17.08.2023|8014661779    |          |Por confirmar - Cabecera     |
|17.08.2023|8014658196    |          |Por confirmar - Cabecera     |
|17.08.2023|8014662084    |          |Confirmada - Cabecera        |
|17.08.2023|8014654466    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665342    |          |Por confirmar - Cabecera     |
|17.08.2023|8014665351    |          |Por confirmar - Cabecera     |
|17.08.2023|8014635576    |          |Por confirmar - Cabecera     |
|17.08.2023|8014641653-P  |X         |Confirmada - Cabecera        |
|17.08.2023|8014652260    |          |Por confirmar - Cabecera     |
|17.08.2023|8014570025-P-S|          |Confirmada - Cabecera        |
|17.08.2023|8014636230    |          |Confirmada - Cabecera        |
|17.08.2023|8014657977    |          |Confirmada - Cabecera        |
|17.08.2023|8014658122    |          |Confirmada - Cabecera        |
|18.08.2023|8014598349    |          |Reserva anticipada - Cabecera|
|18.08.2023|8014598374    |          |Reserva anticipada - Cabecera|
|18.08.2023|8014598379    |          |Reserva anticipada - Cabecera|
|18.08.2023|8014598383    |          |Reserva anticipada - Cabecera|
|18.08.2023|8014598387    |          |Reserva anticipada - Cabecera|
|18.08.2023|8014598393    |          |Reserva anticipada - Cabecera|
|18.08.2023|8014598397    |          |Reserva anticipada - Cabecera|
--------------------------------------------------------------------
